No,Chinese,Pinyin,English
1597,神气,shénqì,"Air, expression"
1598,神圣,shénshèng,sacred
1599,神态,shéntài,expression
1600,神仙,shénxiān,supernatural being; immortal; fairy
1601,审查,shěnchá,Examination
1602,审理,shěnlǐ,hear; try (law)
1603,审美,shěnměi,taste
1604,审判,shěnpàn,Trial
1605,渗透,shèntòu,Infiltration
1606,慎重,shènzhòng,careful
1607,生存,shēngcún,Existence
1608,生机,shēngjī,vitality
1609,生理,shēnglǐ,Physiology
1610,生疏,shēngshū,Strange
1611,生态,shēngtài,ecology
1612,生物,shēngwù,Biology
1613,生肖,shēngxiào,Chinese Zodiac
1614,生效,shēngxiào,Take effect
1615,生锈,shēngxiù,Rust
1616,生育,shēngyù,Birth
1617,牲畜,shēngchù,livestock
1618,声明,shēngmíng,statement
1619,声势,shēngshì,impetus; momentum
1620,声誉,shēngyù,reputation
1621,省会,shěnghuì,provincial capital
1622,盛产,shèngchǎn,abound in; teem with
1623,盛开,shèngkāi,In full bloom
1624,盛情,shèngqíng,boundless hospitality
1625,盛行,shèngxíng,Prevalence
1626,胜负,shèngfù,victory and defeat
1627,失事,shīshì,crash
1628,失误,shīwù,An error
1629,失踪,shīzōng,disappear
1630,师范,shīfàn,Normal school
1631,施加,shījiā,Exert
1632,施展,shīzhǎn,Display
1633,尸体,shītǐ,body; cadaver
1634,拾,shí,"pick up, collect"
1635,十足,shízú,100 percent
1636,识别,shíbié,Distinguish
1637,时常,shícháng,often
1638,时而,shí’ér,from time to time; now … now …
1639,时光,shíguāng,time
1640,时机,shíjī,Opportunity
1641,时事,shíshì,current affairs
1642,实惠,shíhuì,substantial
1643,实力,shílì,Strength
1644,实施,shíshī,Implementation
1645,实事求是,shíshìqiúshì,Seek truth from facts
1646,实行,shíxíng,Implement
1647,实质,shízhì,essence
1648,石油,shíyóu,petroleum
1649,使命,shǐmìng,Mission
1650,是非,shìfēi,right and wrong; quarrel; dispute
1651,试图,shìtú,Try
1652,试验,shìyàn,test
1653,势必,shìbì,Certainly will
1654,势力,shìlì,Power
1655,世代,shìdài,generation
1656,示范,shìfàn,lead the way; demonstrate
1657,示威,shìwēi,Demonstration
1658,示意,shìyì,hint，signal
1659,释放,shìfàng,release
1660,事故,shìgù,Accident
1661,事迹,shìjì,Deed， story
1662,事件,shìjiàn,Event
1663,事态,shìtài,situation
1664,事务,shìwù,affair
1665,事项,shìxiàng,Matter
1666,事业,shìyè,career
1667,适宜,shìyí,suitable
1668,视力,shìlì,Vision
1669,视频,shìpín,video
1670,视线,shìxiàn,sight
1671,视野,shìyě,View
1672,逝世,shìshì,Death
1673,收藏,shōucáng,Collection
1674,收缩,shōusuō,shrink
1675,收益,shōuyì,income; profit
1676,收音机,shōuyīnjī,radio
1677,手法,shǒufǎ,technique
1678,手势,shǒushì,gesture
1679,手艺,shǒuyì,craft; handicraft
1680,首要,shǒuyào,chief; principal
1681,首饰,shǒushì,jewelry
1682,守护,shǒuhù,Guard
1683,受罪,shòuzuì,Suffer
1684,授予,shòuyǔ,grant
1685,书法,shūfǎ,Calligraphy
1686,书籍,shūjí,book
1687,书记,shūjì,secretary
1688,书面,shūmiàn,in written form
1689,舒畅,shūchàng,"Happy, entirely free from worry"
1690,疏忽,shūhū,neglect
1691,疏远,shūyuǎn,alienation
1692,竖,shù,vertical
1693,束,shù,beam
1694,束缚,shùfù,Shackles
1695,树立,shùlì,Establish
1696,数额,shù’é,Amount
1697,耍,shuǎ,Play
1698,衰老,shuāilǎo,"Be senile, grow old"
1699,衰退,shuāituì,decline
1700,率领,shuàilǐng,Lead
1701,涮火锅,shuànhuǒguō,have hotpot
1702,双胞胎,shuāngbāotāi,Horse hooves
1703,爽快,shuǎngkuài,Frank
1704,水利,shuǐlì,Water conservancy
1705,水龙头,shuǐlóngtóu,Water tap
1706,水泥,shuǐní,cement
1707,瞬间,shùnjiān,moment
1708,司法,sīfǎ,judicial
1709,司令,sīlìng,commander
1710,思念,sīniàn,miss
1711,思索,sīsuǒ,Thinking
1712,思维,sīwéi,thinking
1713,私自,sīzì,Secretly
1714,斯文,sīwen,Gentle
1715,死亡,sǐwáng,death
1716,四肢,sìzhī,limb
1717,寺庙,sìmiào,Temple
1718,肆无忌惮,sìwújìdàn,Act recklessly and care for nobody
1719,饲养,sìyǎng,Raise
1720,耸,sǒng,Shrug
1721,艘,sōu,ship
1722,苏醒,sūxǐng,Wake up
1723,俗话,súhuà,common saying
1724,塑造,sùzào,Model
1725,素食,sùshí,Vegetarian diet
1726,素质,sùzhì,quality
1727,诉讼,sùsòng,litigation
1728,算数,suànshù,Count
1729,随即,suíjí,immediately
1730,随意,suíyì,random; casual
1731,岁月,suìyuè,Years
1732,隧道,suìdào,Tunnel
1733,损坏,sǔnhuài,damage
1734,索性,suǒxìng,Simply
1735,索取,suǒqǔ,request
1736,塌,tā,collapse
1737,踏实,tāshi,"earnest, steady and sure"
1738,塔,tǎ,tower
1739,台风,táifēng,Typhoon
1740,太空,tàikōng,Space
1741,泰斗,tàidǒu,leading authority
1742,瘫痪,tānhuàn,paralysis
1743,贪婪,tānlán,Greedy
1744,贪污,tānwū,corruption
1745,摊,tān,stall
1746,弹性,tánxìng,elastic
1747,坦白,tǎnbái,Frank
1748,探测,tàncè,Probe
1749,探索,tànsuǒ,explore
1750,探讨,tàntǎo,discuss; probe into
1751,探望,tànwàng,Visit
1752,叹气,tànqì,Sigh
1753,倘若,tǎngruò,If
1754,掏,tāo,Dig
1755,滔滔不绝,tāotāobùjué,dash along; give it mouth
1756,陶瓷,táocí,ceramics
1757,陶醉,táozuì,revel in
1758,淘汰,táotài,eliminate
1759,讨好,tǎohǎo,to please someone
1760,特长,tècháng,Specialty
1761,特定,tèdìng,given
1762,特意,tèyì,specially
1763,提拔,tíbá,elevate
1764,提炼,tíliàn,abstract; refine
1765,提示,tíshì,hint
1766,提议,tíyì,proposal
1767,题材,tícái,theme
1768,体裁,tǐcái,genre
1769,体积,tǐjī,volume
1770,体谅,tǐliàng,understand; allow for
1771,体面,tǐmiàn,Respectable
1772,体系,tǐxì,system
1773,天才,tiāncái,genius
1774,天伦之乐,tiānlúnzhīlè,The happiness of a family union
1775,天然气,tiānránqì,Natural gas
1776,天生,tiānshēng,Born
1777,天堂,tiāntáng,heaven
1778,天赋,tiānfù,talent
1779,天文,tiānwén,Astronomy
1780,田径,tiánjìng,Athletics
1781,田野,tiányě,Field
1782,舔,tiǎn,lick
1783,挑剔,tiāoti,Fastidious
1784,条款,tiáokuǎn,clause
1785,条理,tiáolǐ,Organized
1786,条约,tiáoyuē,Treaty
1787,调和,tiáohé,Reconcile
1788,调剂,tiáojì,relief; temper
1789,调节,tiáojié,adjust
1790,调解,tiáojiě,mediate
1791,调料,tiáoliào,Seasoning
1792,挑拨,tiǎobō,Provoke
1793,挑衅,tiǎoxìn,provocation
1794,跳跃,tiàoyuè,jump
1795,停泊,tíngbó,Anchor
1796,停顿,tíngdùn,pause
1797,停滞,tíngzhì,stagnation
1798,亭子,tíngzi,Pavilion
1799,挺拔,tǐngbá,Tall and straight
1800,通货膨胀,tōnghuòpéngzhàng,Inflation
1801,通俗,tōngsú,"popular, common"
1802,通讯,tōngxùn,communication
1803,通用,tōngyòng,currency
1804,通缉,tōngjī,list as wanted
1805,铜,tóng,copper
1806,同胞,tóngbāo,Compatriot
1807,同志,tóngzhì,comrade
1808,童话,tónghuà,fairy tale
1809,统筹兼顾,tǒngchóujiāngù,Take into consideration both needs of the state and the interests of the collectives
1810,统计,tǒngjì,Statistics
1811,统统,tǒngtǒng,All
1812,统治,tǒngzhì,rule
1813,投机,tóujī,Speculation
1814,投票,tóupiào,vote
1815,投诉,tóusù,complaint
1816,投降,tóuxiáng,surrender
1817,投掷,tóuzhì,Throw
1818,透露,tòulù,disclose
1819,秃,tū,Bald
1820,突破,tūpò,Breach
1821,图案,tú’àn,pattern
1822,徒弟,túdì,Apprentice
1823,途径,tújìng,channel
1824,涂抹,túmǒ,Apply
1825,土壤,tǔrǎng,soil
1826,吞吞吐吐,tūntūntǔtǔ,mutter and mumble
1827,团结,tuánjié,Unite
1828,团体,tuántǐ,group
1829,团圆,tuányuán,reunion
1830,推测,tuīcè,Speculation
1831,推翻,tuīfān,overthrow
1832,推理,tuīlǐ,reasoning
1833,推论,tuīlùn,inference
1834,推销,tuīxiāo,promote sales
1835,脱离,tuōlí,Be divorced from
1836,拖延,tuōyán,delay
1837,托运,tuōyùn,Consignment
1838,妥当,tuǒdang,appropriate
1839,妥善,tuǒshàn,proper
1840,妥协,tuǒxié,compromise
1841,椭圆,tuǒyuán,Ellipse
1842,唾弃,tuòqì,cast aside
1843,挖掘,wājué,Excavate
1844,娃娃,wáwa,A doll
1845,瓦解,wǎjiě,collapse
1846,哇,wa,wow
1847,歪曲,wāiqū,distort
1848,外表,wàibiǎo,appearance
1849,外行,wàiháng,Layman
1850,外界,wàijiè,outside
1851,外向,wàixiàng,Extroversion
1852,丸,wán,pill
1853,完备,wánbèi,"complete, maturity"
1854,完毕,wánbì,Complete
1855,玩弄,wánnòng,Play with; flirt with
1856,玩意儿,wányìr,Thing
1857,顽固,wángù,stubborn
1858,顽强,wánqiáng,Tenacious
1859,挽回,wǎnhuí,To save
1860,挽救,wǎnjiù,save
1861,惋惜,wǎnxī,Sorry
1862,万分,wànfēn,Extremely
1863,往常,wǎngcháng,The usual
1864,往事,wǎngshì,Past
1865,妄想,wàngxiǎng,mirage; deliria
1866,微不足道,wēibùzúdào,Not worth mentioning
1867,微观,wēiguān,Microcosmic
1868,威风,wēifēng,Prestige
1869,威力,wēilì,power
1870,威望,wēiwàng,prestige
1871,威信,wēixìn,Authority
1872,危机,wēijī,crisis
1873,违背,wéibèi,Violation
1874,维持,wéichí,maintain
1875,维护,wéihù,protect
1876,维生素,wéishēngsù,Vitamin
1877,唯独,wéidú,Only
1878,为难,wéinán,Embarrassed
1879,为期,wéiqī,by a definite date
1880,委托,wěituō,Entrust
1881,委员,wěiyuán,Committee member
1882,伪造,wěizào,Forge
1883,喂（叹词）,wèi,hey
1884,未免,wèimiǎn,Rather
1885,畏惧,wèijù,Fear
1886,卫星,wèixīng,satellite
1887,慰问,wèiwèn,Condolences
1888,蔚蓝,wèilán,azure
1889,温带,wēndài,The temperate zone
1890,温和,wēnhé,mild
1891,文凭,wénpíng,diploma
1892,文物,wénwù,Cultural relic
1893,文献,wénxiàn,literature
1894,文雅,wényǎ,Elegant
1895,文艺,wényì,literature
1896,问世,wènshì,The advent of
1897,窝,wō,nest
1898,乌黑,wūhēi,Black
1899,污蔑,wūmiè,Slander
1900,诬陷,wūxiàn,Framed
1901,无比,wúbǐ,extremely
1902,无偿,wúcháng,for free
1903,无耻,wúchǐ,shameless
1904,无动于衷,wúdòngyúzhōng,Completely indifferent
1905,无非,wúfēi,Nothing more than
1906,无精打采,wújīngdǎcǎi,Be in the blues
1907,无赖,wúlài,Rogue
1908,无理取闹,wúlǐqǔnào,Make trouble out of nothing
1909,无能为力,wúnéngwéilì,Incapable of action
1910,无辜,wúgū,innocent
1911,无穷无尽,wúqióngwújìn,Inexhaustible
1912,无微不至,wúwēibúzhì,Considerate right down to the most trivial detail
1913,无忧无虑,wúyōuwúlǜ,Be light of heart from care
1914,无知,wúzhī,ignorance
1915,舞蹈,wǔdǎo,Dance
1916,武器,wǔqì,arms
1917,武侠,wǔxiá,Martial arts
1918,武装,wǔzhuāng,Armed forces
1919,侮辱,wǔrǔ,insult
1920,务必,wùbì,must
1921,误差,wùchā,error
1922,误解,wùjiě,misunderstand
1923,物业,wùyè,property
1924,物美价廉,wùměijiàlián,High quality and inexpensive
1925,物资,wùzī,goods and materials
1926,溪,xī,brook
1927,膝盖,xīgài,knee
1928,熄灭,xīmiè,crush out; go out
1929,昔日,xīrì,The past
1930,牺牲,xīshēng,sacrifice
1931,夕阳,xīyáng,Setting sun
1932,媳妇,xífu,daughter-in-law
1933,习俗,xísú,custom
1934,袭击,xíjī,A surprise attack
1935,喜闻乐见,xǐwénlèjiàn,Love to see and hear
1936,喜悦,xǐyuè,Joy
1937,系列,xìliè,series
1938,细胞,xìbāo,Cells
1939,细菌,xìjūn,Bacteria
1940,细致,xìzhì,careful
1941,霞,xiá,rosy clouds
1942,狭隘,xiá’ài,narrow and limited
1943,狭窄,xiázhǎi,Narrow
1944,峡谷,xiágǔ,Canyon
1945,下属,xiàshǔ,subordinate
1946,先进,xiānjìn,advanced
1947,先前,xiānqián,previously
1948,鲜明,xiānmíng,distinct
1949,掀起,xiānqǐ,Set off
1950,纤维,xiānwéi,fibre
1951,弦,xián,string
1952,嫌,xián,dislike and avoid
1953,嫌疑,xiányí,suspicion
1954,闲话,xiánhuà,gossip
1955,贤惠,xiánhuì,Virtuous
1956,衔接,xiánjiē,joint
1957,显著,xiǎnzhù,remarkable
1958,现场,xiànchǎng,scene
1959,现成,xiànchéng,Ready-made
1960,现状,xiànzhuàng,Present situation
1961,宪法,xiànfǎ,Constitution
1962,陷害,xiànhài,Framed
1963,陷入,xiànrù,fall into
1964,陷阱,xiànjǐng,trap
1965,馅儿,xiànr,Filling
1966,线索,xiànsuǒ,Clue
1967,相差,xiāngchà,Differ
1968,相等,xiāngděng,Equal
1969,相辅相成,xiāngfǔxiāngchéng,Exist side by side and play a part together
1970,相应,xiāngyìng,Corresponding
1971,镶嵌,xiāngqiàn,"Set, inlay"
1972,乡镇,xiāngzhèn,Town
1973,想方设法,xiǎngfāngshèfǎ,Try various devices to
1974,响亮,xiǎngliàng,loud and clear
1975,响应,xiǎngyìng,response
1976,巷,xiàng,Alley
1977,向导,xiàngdǎo,Guide
1978,向来,xiànglái,always
1979,向往,xiàngwǎng,Yearn for
1980,相声,xiàngsheng,crosstalk
1981,消除,xiāochú,eliminate
1982,消毒,xiāodú,Disinfection
1983,消防,xiāofáng,Fire control
1984,消耗,xiāohào,consume
1985,消灭,xiāomiè,eliminate
1986,销毁,xiāohuǐ,destroy by melting or burning
1987,小心翼翼,xiǎoxīnyìyì,With great care
1988,效益,xiàoyì,benefit
1989,肖像,xiàoxiàng,portrait
1990,潇洒,xiāosǎ,chic
1991,携带,xiédài,carry
1992,协会,xiéhuì,association
1993,协商,xiéshāng,consult
1994,协调,xiétiáo,coordinate
1995,协议,xiéyì,Agreement
1996,协助,xiézhù,assist
1997,屑,xiè,Chip
1998,谢绝,xièjué,decline with thanks
1999,泄露,xièlòu,leakage
2000,泄气,xièqì,Feel discouraged
2001,新陈代谢,xīnchéndàixiè,The new supersedes the old
2002,新郎,xīnláng,Groom
2003,新娘,xīnniáng,Bride
2004,新颖,xīnyǐng,novel
2005,心得,xīndé,Experience
2006,心灵,xīnlíng,Heart
2007,心态,xīntài,mentality
2008,心疼,xīnténg,Distressed
2009,心血,xīnxuè,Blood
2010,心眼儿,xīnyǎnr,"Heart, mind, intention"
2011,心甘情愿,xīngānqíngyuàn,willingly
2012,辛勤,xīnqín,Hardworking
2013,欣慰,xīnwèi,Gratified
2014,欣欣向荣,xīnxīnxiàngróng,Thriving
2015,薪水,xīnshui,salary
2016,信赖,xìnlài,trust; rely
2017,信念,xìnniàn,belief
2018,信仰,xìnyǎng,Faith
2019,信誉,xìnyù,reputation
2020,腥,xīng,Fishy
2021,兴隆,xīnglóng,Prosperous
2022,兴旺,xīngwàng,Prosperous
2023,行政,xíngzhèng,Administration
2024,形态,xíngtài,Form
2025,刑事,xíngshì,criminal
2026,性感,xìnggǎn,sexy
2027,性命,xìngmìng,life
2028,性能,xìngnéng,performance
2029,兴高采烈,xìnggāocǎiliè,Be jubilant
2030,兴致勃勃,xìngzhìbóbó,Be in the best of spirits
2031,胸怀,xiōnghuái,mind
2032,胸膛,xiōngtáng,chest
2033,汹涌,xiōngyǒng,turbulent
2034,凶恶,xiōng’è,Ferocious
2035,凶手,xiōngshǒu,Murderer
2036,雄厚,xiónghòu,Abundant
2037,雄伟,xióngwěi,Magnificent
2038,修复,xiūfù,repair
2039,修建,xiūjiàn,build
2040,修养,xiūyǎng,"training, mastery"
2041,羞耻,xiūchǐ,Shame
2042,绣,xiù,embroidery
2043,嗅觉,xiùjué,smell
2044,虚假,xūjiǎ,false sham
2045,虚荣,xūróng,vanity
2046,虚伪,xūwěi,hypocrisy
2047,需求,xūqiú,demand
2048,须知,xūzhī,Notice
2049,许可,xǔkě,Permit
2050,酗酒,xùjiǔ,Alcohol
2051,畜牧,xùmù,Animal husbandry
2052,序言,xùyán,Preface
2053,喧哗,xuānhuá,uproar
2054,宣誓,xuānshì,Swear an oath
2055,宣扬,xuānyáng,Preach
2056,悬挂,xuánguà,suspension
2057,悬念,xuánniàn,suspense
2058,悬殊,xuánshū,disparity
2059,悬崖峭壁,xuányáqiàobì,Steep cliff
2060,旋律,xuánlǜ,Melody
2061,旋转,xuánzhuǎn,rotate
2062,选拔,xuǎnbá,Selection
2063,选举,xuǎnjǔ,Election
2064,选手,xuǎnshǒu,Player
2065,炫耀,xuànyào,show off
2066,削,xuē,cut
2067,削弱,xuēruò,weaken; cripple
2068,学说,xuéshuō,theory
2069,学位,xuéwèi,Academic degree
2070,雪上加霜,xuěshàngjiāshuāng,One disaster after another
2071,血压,xuèyā,blood pressure
2072,熏陶,xūntáo,The influence of
2073,循环,xúnhuán,loop
2074,循序渐进,xúnxùjiànjìn,follow in order and advance step by step
2075,巡逻,xúnluó,patrol
2076,寻觅,xúnmì,Looking for
2077,压迫,yāpò,Oppression
2078,压岁钱,yāsuìqián,Lucky money in new year
2079,压缩,yāsuō,compress
2080,压抑,yāyì,oppress; overbear
2081,压榨,yāzhà,press
2082,压制,yāzhì,Suppress
2083,亚军,yàjūn,Runner-up
2084,鸦雀无声,yāquèwúshēng,silent
2085,烟花爆竹,yānhuābàozhú,Fireworks and firecrackers
2086,淹没,yānmò,Flood
2087,延期,yánqī,Delay
2088,延伸,yánshēn,extend
2089,延续,yánxù,continue
2090,严寒,yánhán,Severe cold
2091,严禁,yánjìn,Strictly prohibit
2092,严峻,yánjùn,stern; serious; harsh
2093,严厉,yánlì,severe
2094,严密,yánmì,tight
2095,沿海,yánhǎi,coastal
2096,言论,yánlùn,speech
2097,炎热,yánrè,Scorching hot
2098,岩石,yánshí,rock
2099,演变,yǎnbiàn,evolution
2100,演习,yǎnxí,exercise
2101,演绎,yǎnyì,deduction
2102,演奏,yǎnzòu,Play
2103,掩盖,yǎngài,cover up
2104,掩护,yǎnhù,cover
2105,掩饰,yǎnshì,Conceal
2106,眼光,yǎnguāng,Eye
2107,眼色,yǎnsè,meaningful glance
2108,眼神,yǎnshén,expression in one’s eyes
2109,验收,yànshōu,Check before acceptance
2110,验证,yànzhèng,Verification
2111,厌恶,yànwù,Hate
2112,氧气,yǎngqì,oxygen
2113,样品,yàngpǐn,sample
2114,摇摆,yáobǎi,swing
2115,摇滚,yáogǔn,Rock
2116,遥控,yáokòng,remote control
2117,遥远,yáoyuǎn,distant
2118,谣言,yáoyán,Rumor
2119,要点,yàodiǎn,Main points
2120,要命,yàomìng,"kill, extremely"
2121,要素,yàosù,Essential factor
2122,耀眼,yàoyǎn,dazzling
2123,野蛮,yěmán,barbarism
2124,野心,yěxīn,ambition
2125,液体,yètǐ,liquid
2126,一流,yīliú,First-class
2127,依旧,yījiù,still
2128,依据,yījù,Basis
2129,依靠,yīkào,rely on; depend on
2130,依赖,yīlài,rely on
2131,依托,yītuō,rely on
2132,衣裳,yīshang,clothes
2133,一度,yídù,once
2134,一贯,yíguàn,consistent
2135,一目了然,yímùliǎorán,Stick out a mile
2136,一向,yíxiàng,Always
2137,遗产,yíchǎn,heritage
2138,遗传,yíchuán,inheritance
2139,遗留,yíliú,Left
2140,遗失,yíshī,Loss
2141,疑惑,yíhuò,doubt; disbelieve
2142,仪器,yíqì,instrument
2143,仪式,yíshì,Ceremony
2144,以便,yǐbiàn,so that
2145,以免,yǐmiǎn,in case
2146,以往,yǐwǎng,Past
2147,以至,yǐzhì,So that; down to
2148,以致,yǐzhì,so that
2149,亦,yì,also
2150,翼,yì,Wing
2151,一帆风顺,yìfānfēngshùn,Everything is going smoothly
2152,一举两得,yìjǔliǎngdé,Shoot two hawks with one arrow
2153,一如既往,yìrújìwǎng,As always
2154,一丝不苟,yìsībùgǒu,Be strict in one’s demands
2155,异常,yìcháng,abnormal
2156,意料,yìliào,expect; anticipate
2157,意识,yìshí,consciousness
2158,意图,yìtú,intention
2159,意味着,yìwèizhe,Signify
2160,意向,yìxiàng,intention
2161,意志,yìzhì,will
2162,毅力,yìlì,Will
2163,毅然,yìrán,Resolutely; firmly
2164,阴谋,yīnmóu,conspiracy
2165,音响,yīnxiǎng,sound
2166,隐蔽,yǐnbì,Concealment
2167,隐患,yǐnhuàn,hidden danger
2168,隐瞒,yǐnmán,hide
2169,隐私,yǐnsī,Privacy
2170,隐约,yǐnyuē,Vaguely
2171,引导,yǐndǎo,guide
2172,引擎,yǐnqíng,engine
2173,引用,yǐnyòng,Quote
2174,饮食,yǐnshí,diet
2175,婴儿,yīng’ér,baby
2176,英明,yīngmíng,wise
2177,英勇,yīngyǒng,heroic
2178,迎面,yíngmiàn,Head-on; in one`s face
2179,盈利,yínglì,profit
2180,应酬,yìngchou,Entertainment
2181,应邀,yìngyāo,Invited
2182,拥护,yōnghù,support
2183,拥有,yōngyǒu,Have
2184,庸俗,yōngsú,philistine; tacky
2185,勇于,yǒngyú,The courage to
2186,永恒,yǒnghéng,Eternal
2187,涌现,yǒngxiàn,The emergence of
2188,踊跃,yǒngyuè,Enthusiastically
2189,用户,yònghù,user
2190,优胜劣汰,yōushèngliètài,Survival of the fittest
2191,优先,yōuxiān,first
2192,优异,yōuyì,excellent
2193,优越,yōuyuè,superior
2194,忧郁,yōuyù,heavy-hearted
2195,油腻,yóunì,greasy
2196,油漆,yóuqī,paint
2197,犹如,yóurú,like; as if; just as
2198,有条不紊,yǒutiáobùwěn,Everything in good order and well arranged
2199,幼稚,yòuzhì,Immature
2200,诱惑,yòuhuò,tempt; lure
2201,愚蠢,yúchǔn,stupid
2202,愚昧,yúmèi,Foolish
2203,舆论,yúlùn,public opinion
2204,渔民,yúmín,Fisherman
2205,与日俱增,yǔrìjùzēng,Grow with each passing day
2206,羽绒服,yǔróngfú,Down Jackets
2207,宇宙,yǔzhòu,universe
2208,愈,yù,more
2209,预料,yùliào,Expect
2210,预期,yùqī,expect; anticipate
2211,预算,yùsuàn,budget
2212,预先,yùxiān,beforehand
2213,预言,yùyán,Prophesy
2214,预兆,yùzhào,Omen
2215,玉,yù,jade
2216,欲望,yùwàng,desire
2217,寓言,yùyán,fable
2218,冤枉,yuānwang,Wrong; treat unjustly
2219,元首,yuánshǒu,The heads of a state
2220,元素,yuánsù,element
2221,元宵节,yuánxiāojié,The Lantern Festival
2222,圆满,yuánmǎn,Satisfactorily
2223,原告,yuángào,accuser
2224,原理,yuánlǐ,principle
2225,原始,yuánshǐ,Original
2226,原先,yuánxiān,Original
2227,缘故,yuángù,Reason
2228,园林,yuánlín,Gardens
2229,源泉,yuánquán,headspring
2230,约束,yuēshù,bind; restrain
2231,乐谱,yuèpǔ,Music score
2232,岳母,yuèmǔ,mother in law
2233,熨,yùn,Ironing
2234,蕴藏,yùncáng,hold in store; contain
2235,运算,yùnsuàn,operation
2236,运行,yùnxíng,run; working
2237,酝酿,yùnniàng,Brewing
2238,孕育,yùnyù,inoculation; breed
2239,砸,zá,Hit
2240,杂技,zájì,acrobatics
2241,杂交,zájiāo,Hybridization
2242,咋,zǎ,how; why
2243,灾难,zāinàn,disaster
2244,栽培,zāipéi,cultivate
2245,宰,zǎi,Slaughter
2246,在意,zàiyì,care about
2247,再接再厉,zàijiēzàilì,Make persistent efforts
2248,攒,zǎn,Save
2249,赞叹,zàntàn,Praise
2250,赞助,zànzhù,Sponsor
2251,暂且,zànqiě,For the time being
2252,糟蹋,zāotà,waste; ruin
2253,遭受,zāoshòu,Suffer
2254,遭殃,zāoyāng,Suffer
2255,遭遇,zāoyù,encounter
2256,造型,zàoxíng,style; modeling
2257,噪音,zàoyīn,noise
2258,责怪,zéguài,Blame
2259,贼,zéi,thief
2260,增添,zēngtiān,Add
2261,赠送,zèngsòng,Give
2262,渣,zhā,residue
2263,扎,zhā,Tie
2264,扎实,zhāshi,solid
2265,眨,zhǎ,Blink
2266,诈骗,zhàpiàn,Fraud
2267,摘要,zhāiyào,abstract
2268,债券,zhàiquàn,bond
2269,沾光,zhānguāng,gain some advantage from another
2270,瞻仰,zhānyǎng,look at with reverence
2271,斩钉截铁,zhǎndīngjiétiě,Resolute and decisive
2272,展示,zhǎnshì,Exhibit
2273,展望,zhǎnwàng,expectation
2274,展现,zhǎnxiàn,To show
2275,崭新,zhǎnxīn,Completely new
2276,战斗,zhàndòu,Battle
2277,战略,zhànlüè,strategy
2278,战术,zhànshù,tactics
2279,战役,zhànyì,Battle
2280,占据,zhànjù,Occupy
2281,占领,zhànlǐng,occupy
2282,章程,zhāngchéng,"Constitution, regulations"
2283,障碍,zhàng’ài,obstacle
2284,帐篷,zhàngpeng,Tent
2285,招标,zhāobiāo,call for bids
2286,招收,zhāoshōu,recruit
2287,朝气蓬勃,zhāoqìpéngbó,Full of youthful spirit
2288,着迷,zháomí,Be fascinated
2289,沼泽,zhǎozé,Swamp
2290,照样,zhàoyàng,all the same; as before
2291,照耀,zhàoyào,Shine
2292,遮挡,zhēdǎng,keep out
2293,折腾,zhēteng,Toss
2294,折,zhé,fracture
2295,折磨,zhémó,torture
2296,真理,zhēnlǐ,Truth
2297,真相,zhēnxiàng,fact; truth
2298,真挚,zhēnzhì,sincere
2299,珍贵,zhēnguì,precious
2300,珍稀,zhēnxī,Rare
2301,珍珠,zhēnzhū,Pearl
2302,侦探,zhēntàn,Detective
2303,斟酌,zhēnzhuó,Consider
2304,枕头,zhěntou,Pillow
2305,阵地,zhèndì,position
2306,阵容,zhènróng,Lineup
2307,镇定,zhèndìng,Calm
2308,镇静,zhènjìng,Calm
2309,振奋,zhènfèn,Exciting
2310,振兴,zhènxīng,The revitalization of
2311,震撼,zhènhàn,shock
2312,震惊,zhènjīng,shock
2313,争端,zhēngduān,Dispute
2314,争夺,zhēngduó,Fight for
2315,争气,zhēngqì,try to win credit for
2316,争先恐后,zhēngxiānkǒnghòu,strive to be the first; vie with each other
2317,争议,zhēngyì,dispute
2318,蒸发,zhēngfā,evaporation
2319,征服,zhēngfú,Conquer
2320,征收,zhēngshōu,collection
2321,正月,zhēngyuè,January (moon calendar)
2322,挣扎,zhēngzhá,Struggle
2323,整顿,zhěngdùn,rectify
2324,正当,zhèngdāng,proper
2325,正负,zhèngfù,Positive and negative
2326,正规,zhèngguī,regular
2327,正经,zhèngjing,Serious
2328,正气,zhèngqì,Righteousness
2329,正义,zhèngyì,justice
2330,正宗,zhèngzōng,authentic
2331,政策,zhèngcè,policy
2332,政权,zhèngquán,regime
2333,证实,zhèngshí,Confirm
2334,证书,zhèngshū,certificate
2335,郑重,zhèngzhòng,Solemnly
2336,症状,zhèngzhuàng,Symptom
2337,之际,zhī jì,it’s time…
2338,枝,zhī,branch
2339,支撑,zhīchēng,brace
2340,支出,zhīchū,payout; expend
2341,支流,zhīliú,Tributary
2342,支配,zhīpèi,Control
2343,支援,zhīyuán,support
2344,支柱,zhīzhù,mainstay; backbone
2345,知觉,zhījué,perception
2346,知足常乐,zhīzúchánglè,Happy is he who is content
2347,脂肪,zhīfáng,Fat
2348,直播,zhíbō,on live
2349,直径,zhíjìng,diameter
2350,值班,zhíbān,Be on duty
2351,殖民地,zhímíndì,Colony
2352,职能,zhínéng,function
2353,职位,zhíwèi,position
2354,职务,zhíwù,post
2355,执行,zhíxíng,implement
2356,执着,zhízhuó,persistent
2357,侄子,zhízi,nephew
